East Asia and Pacific;Median;57.00;55.80;54.40;52.70;51.10;49.30;47.50;45.80;43.90;42.00;40.00;37.80;35.60;33.40;32.30;29.50;27.70;26.10;25.30;23.30;22.00;20.90;19.80;18.80;17.90;17.10;16.30
East Asia and Pacific;Upper;60.10;58.60;56.80;54.90;53.00;51.10;49.30;47.40;45.50;43.50;41.40;39.10;36.90;34.60;33.50;30.50;28.70;27.10;26.30;24.20;23.00;21.90;20.80;20.00;19.20;18.60;18.10
East Asia and Pacific;Average;57.10;55.93;54.47;52.80;51.13;49.37;47.60;45.83;44.00;42.07;40.03;37.83;35.67;33.47;32.37;29.50;27.70;26.13;25.33;23.30;22.07;20.93;19.83;18.90;18.00;17.23;16.50
Latin America and Caribbean;Lower;53.70;51.50;49.20;46.90;44.60;42.40;40.30;38.20;36.60;34.60;32.60;30.90;29.40;28.00;26.70;25.50;24.40;23.40;22.50;21.70;24.00;20.10;19.40;18.60;17.90;17.20;16.60
Latin America and Caribbean;Median;55.30;53.00;50.60;48.20;45.90;43.60;41.40;39.20;37.60;35.50;33.40;31.70;30.20;28.70;27.40;26.20;25.00;24.00;23.10;22.30;24.90;20.70;20.00;19.30;18.70;18.10;17.50
Latin America and Caribbean;Upper;57.00;54.50;52.10;49.70;47.30;44.90;42.60;40.40;38.70;36.50;34.40;32.60;31.00;29.50;28.20;26.90;25.80;24.80;23.80;23.00;25.90;21.50;20.80;20.30;19.70;19.30;18.90
Latin America and Caribbean;Average;55.33;53.00;50.63;48.27;45.93;43.63;41.43;39.27;37.63;35.53;33.47;31.73;30.20;28.73;27.43;26.20;25.07;24.07;23.13;22.33;24.93;20.77;20.07;19.40;18.77;18.20;17.67
North America;Lower;10.80;10.40;10.10;9.70;9.40;9.10;8.80;8.60;8.40;8.30;8.10;8.00;7.90;7.90;7.80;7.70;7.60;7.50;7.40;7.20;7.10;6.90;6.80;6.60;6.50;6.30;6.00
North America;Median;10.90;10.60;10.30;9.90;9.60;9.30;9.00;8.70;8.50;8.40;8.20;8.10;8.00;7.90;7.90;7.90;7.80;7.60;7.50;7.30;7.20;7.10;6.90;6.80;6.70;6.50;6.40
North America;Upper;11.20;10.80;10.40;10.00;9.70;9.40;9.10;8.90;8.70;8.50;8.40;8.30;8.20;8.10;8.00;8.00;7.80;7.70;7.60;7.50;7.30;7.20;7.00;6.90;6.80;6.80;6.70
North America;Average;10.97;10.60;10.27;9.87;9.57;9.27;8.97;8.73;8.53;8.40;8.23;8.13;8.03;7.97;7.90;7.87;7.73;7.60;7.50;7.33;7.20;7.07;6.90;6.77;6.67;6.53;6.37
Europe and Central Asia;Lower;30.20;29.50;29.00;28.50;27.80;26.90;25.90;24.80;23.60;22.40;21.10;19.90;18.70;17.60;16.60;15.60;14.80;14.00;13.30;12.70;12.10;11.50;11.00;10.50;10.00;9.50;9.00
Europe and Central Asia;Median;30.90;30.30;29.80;29.30;28.60;27.70;26.60;25.50;24.30;23.00;21.80;20.60;19.40;18.30;17.30;16.30;15.50;14.70;14.00;13.40;12.70;12.20;11.60;11.10;10.60;10.10;9.70
Europe and Central Asia;Upper;31.90;31.20;30.70;30.20;29.50;28.60;27.50;26.40;25.10;23.90;22.60;21.40;20.30;19.20;18.20;17.30;16.40;15.60;14.90;14.30;13.70;13.10;12.60;12.10;11.70;11.30;10.90
Europe and Central Asia;Average;31.00;30.33;29.83;29.33;28.63;27.73;26.67;25.57;24.33;23.10;21.83;20.63;19.47;18.37;17.37;16.40;15.57;14.77;14.07;13.47;12.83;12.27;11.73;11.23;10.77;10.30;9.87
Eastern Europe and Central Asia;Lower;45.30;44.90;44.80;44.80;44.40;43.60;42.40;40.80;39.00;37.10;35.00;32.90;30.80;28.80;26.90;25.20;23.60;22.20;20.90;19.70;18.50;17.50;16.60;15.70;14.80;14.00;13.20
Eastern Europe and Central Asia;Median;46.70;46.30;46.20;46.20;45.80;45.00;43.70;42.20;40.40;38.40;36.30;34.20;32.10;30.10;28.30;26.50;25.00;23.50;22.10;20.90;19.70;18.70;17.70;16.80;15.90;15.20;14.40
Eastern Europe and Central Asia;Upper;48.30;47.90;47.90;47.80;47.50;46.70;45.40;43.80;42.00;40.00;37.90;35.80;33.70;31.80;30.00;28.30;26.70;25.20;23.90;22.60;21.40;20.40;19.50;18.60;17.90;17.30;16.70
Eastern Europe and Central Asia;Average;46.77;46.37;46.30;46.27;45.90;45.10;43.83;42.27;40.47;38.50;36.40;34.30;32.20;30.23;28.40;26.67;25.10;23.63;22.30;21.07;19.87;18.87;17.93;17.03;16.20;15.50;14.77
Western Europe;Lower;10.40;10.00;9.50;9.00;8.40;7.90;7.50;7.00;6.70;6.40;6.20;5.90;5.70;5.50;5.40;5.20;5.00;4.90;4.70;4.60;4.40;4.30;4.20;4.10;4.00;3.90;3.80
Western Europe;Median;10.50;10.00;9.50;9.00;8.50;8.00;7.50;7.10;6.70;6.40;6.20;6.00;5.80;5.60;5.40;5.20;5.10;4.90;4.80;4.60;4.50;4.30;4.20;4.10;4.00;3.90;3.90
Western Europe;Upper;10.60;10.10;9.60;9.10;8.60;8.00;7.60;7.10;6.80;6.50;6.20;6.00;5.80;5.60;5.40;5.30;5.10;4.90;4.80;4.60;4.50;4.40;4.20;4.10;4.10;4.00;3.90
Western Europe;Average;10.50;10.03;9.53;9.03;8.50;7.97;7.53;7.07;6.73;6.43;6.20;5.97;5.77;5.57;5.40;5.23;5.07;4.90;4.77;4.60;4.47;4.33;4.20;4.10;4.03;3.93;3.87
World;Lower;92.10;90.90;89.70;88.60;87.60;86.20;84.60;82.90;81.10;78.90;76.40;73.80;71.10;68.30;65.80;62.80;60.10;57.50;55.20;52.70;50.60;48.20;46.10;44.10;42.30;40.60;39.10
World;Median;93.40;92.10;90.90;89.70;88.70;87.30;85.60;84.00;82.10;79.90;77.50;74.80;72.00;69.20;66.70;63.70;61.10;58.50;56.20;53.70;51.70;49.30;47.30;45.50;43.70;42.20;40.80
World;Upper;94.90;93.50;92.20;91.00;90.00;88.60;86.90;85.20;83.40;81.10;78.60;76.00;73.20;70.40;67.80;64.80;62.20;59.70;57.40;55.00;53.10;50.90;49.10;47.50;46.10;44.80;43.70
World;Average;93.47;92.17;90.93;89.77;88.77;87.37;85.70;84.03;82.20;79.97;77.50;74.87;72.10;69.30;66.77;63.77;61.13;58.57;56.27;53.80;51.80;49.47;47.50;45.70;44.03;42.53;41.20
